region,clinic_visit_week,lag_start,lag_end,rainfall_lagged_mm
Kagera,2022-10-15,2022-09-03,2022-10-01,93.81
Kagera,2022-10-22,2022-09-10,2022-10-08,102.39
Kagera,2022-10-29,2022-09-17,2022-10-15,77.11
Kagera,2022-11-05,2022-09-24,2022-10-22,84.0
Kagera,2022-11-12,2022-10-01,2022-10-29,73.61
Kagera,2022-11-19,2022-10-08,2022-11-05,74.58
Kagera,2022-11-26,2022-10-15,2022-11-12,125.88
Kagera,2022-12-03,2022-10-22,2022-11-19,166.4
Kagera,2022-12-10,2022-10-29,2022-11-26,185.48
Kagera,2022-12-17,2022-11-05,2022-12-03,208.2
Kagera,2022-12-24,2022-11-12,2022-12-10,189.96
Kagera,2022-12-31,2022-11-19,2022-12-17,153.41
Kagera,2023-01-07,2022-11-26,2022-12-24,151.04
Kagera,2023-01-14,2022-12-03,2022-12-31,134.31
Kagera,2023-01-21,2022-12-10,2023-01-07,98.51
Kagera,2023-01-28,2022-12-17,2023-01-14,108.85
Kagera,2023-02-04,2022-12-24,2023-01-21,91.1
Kagera,2023-02-11,2022-12-31,2023-01-28,108.4
Kagera,2023-02-18,2023-01-07,2023-02-04,120.15
Kagera,2023-02-25,2023-01-14,2023-02-11,90.06
Kagera,2023-03-04,2023-01-21,2023-02-18,84.72
Kagera,2023-03-11,2023-01-28,2023-02-25,59.04
Kagera,2023-03-18,2023-02-04,2023-03-04,110.58
Kagera,2023-03-25,2023-02-11,2023-03-11,106.89
Kagera,2023-04-01,2023-02-18,2023-03-18,162.59
Kagera,2023-04-08,2023-02-25,2023-03-25,237.73
Kagera,2023-04-15,2023-03-04,2023-04-01,224.19
Kagera,2023-04-22,2023-03-11,2023-04-08,273.07
Kagera,2023-04-29,2023-03-18,2023-04-15,226.02
Kagera,2023-05-06,2023-03-25,2023-04-22,190.41
Kagera,2023-05-13,2023-04-01,2023-04-29,212.7
Kagera,2023-05-20,2023-04-08,2023-05-06,237.2
Kagera,2023-05-27,2023-04-15,2023-05-13,239.63
Kagera,2023-06-03,2023-04-22,2023-05-20,183.93
Kagera,2023-06-10,2023-04-29,2023-05-27,115.61
Kagera,2023-06-17,2023-05-06,2023-06-03,36.17
Kagera,2023-06-24,2023-05-13,2023-06-10,18.3
Kagera,2023-07-01,2023-05-20,2023-06-17,36.19
Kagera,2023-07-08,2023-05-27,2023-06-24,46.66
Kagera,2023-07-15,2023-06-03,2023-07-01,55.3
Kagera,2023-07-22,2023-06-10,2023-07-08,52.73
Kagera,2023-07-29,2023-06-17,2023-07-15,33.51
Kagera,2023-08-05,2023-06-24,2023-07-22,16.44
Kagera,2023-08-12,2023-07-01,2023-07-29,0.12
Kagera,2023-08-19,2023-07-08,2023-08-05,0.97
Kagera,2023-08-26,2023-07-15,2023-08-12,4.39
Kagera,2023-09-02,2023-07-22,2023-08-19,10.04
Kagera,2023-09-09,2023-07-29,2023-08-26,12.26
Kagera,2023-09-16,2023-08-05,2023-09-02,17.49
Kagera,2023-09-23,2023-08-12,2023-09-09,37.93
Kagera,2023-09-30,2023-08-19,2023-09-16,71.86
Kagera,2023-10-07,2023-08-26,2023-09-23,117.25
Kagera,2023-10-14,2023-09-02,2023-09-30,138.25
Kagera,2023-10-21,2023-09-09,2023-10-07,131.73
Kagera,2023-10-28,2023-09-16,2023-10-14,118.25
Kagera,2023-11-04,2023-09-23,2023-10-21,128.93
Kagera,2023-11-11,2023-09-30,2023-10-28,120.68
Kagera,2023-11-18,2023-10-07,2023-11-04,162.92
Kagera,2023-11-25,2023-10-14,2023-11-11,204.66
Kagera,2023-12-02,2023-10-21,2023-11-18,216.0
Kagera,2023-12-09,2023-10-28,2023-11-25,298.65
Kagera,2023-12-16,2023-11-04,2023-12-02,324.34
Kagera,2023-12-23,2023-11-11,2023-12-09,324.03
Kagera,2023-12-30,2023-11-18,2023-12-16,275.05
Mara,2022-01-01,2021-11-20,2021-12-18,139.62
Mara,2022-01-08,2021-11-27,2021-12-25,153.81
Mara,2022-01-15,2021-12-04,2022-01-01,137.6
Mara,2022-01-22,2021-12-11,2022-01-08,141.87
Mara,2022-01-29,2021-12-18,2022-01-15,119.99
Mara,2022-02-05,2021-12-25,2022-01-22,177.97
Mara,2022-02-12,2022-01-01,2022-01-29,166.46
Mara,2022-02-19,2022-01-08,2022-02-05,191.77
Mara,2022-02-26,2022-01-15,2022-02-12,248.47
Mara,2022-03-05,2022-01-22,2022-02-19,207.17
Mara,2022-03-12,2022-01-29,2022-02-26,237.15
